samples_source_ref,reseqed?,Migratory_Access,InversionFreq,N,Pop_ID,Pop_Group,Population,Pop_Order,Map_Number,Latitude,Longitude,checked,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,after HM,Nlost,R24370,3,SH114448,4
Clemento et al. 2009,,Below barrier,0.38,24,AGBerro,CenCal,"Arroyo Grande, Los Berros Canyon (below barrier)",45,41,35.11,-120.588,,California,San Luis Obispo,Arroyo Grande Creek,Arroyo Grande Creek,,Los Berros Canyon Creek,,,24,0,AGBerroM,37.50,AGBerroM,37.50
Clemento et al. 2009,,Below barrier,0.22,23,AGrande,CenCal,Arroyo Grande (below barrier),46,42,35.10,-120.629,,California,San Luis Obispo,Arroyo Grande Creek,,,Arroyo Grande Creek,,,23,0,AGrandeM,21.74,AGrandeM,21.74
Abadia-Cardoso et al. 2015,,Above barrier,0.50,24,Sisquoc,CenCal,"Santa Maria, Sisquoc above barrier)",47,43,34.90,-120.312,,California,San Luis Obispo,Santa Maria River,,,Sisquoc River,,,20,4,SisquocM,50.00,SisquocM,55.00
Abadia-Cardoso et al. 2016,,Above barrier,0.67,27,CuyReye,CenCal,"Santa Maria, Cuyama, Reyes (above barrier)",48,44,34.69,-119.298,,California,San Luis Obispo,Santa Maria River,Cuyama River,,Reyes Creek,,,27,0,CuyReyeM,66.67,CuyReyeM,66.67
Abadia-Cardoso et al. 2016,,Above barrier,0.83,26,CuyBear,CenCal,"Santa Maria, Cuyama, Beartrap (above barrier)",49,45,34.69,-119.298,,California,Santa Barbara,Santa Maria River,Cuyama River,,Beartrap Creek,,,26,0,CuyBearM,82.69,CuyBearM,82.69
Clemento et al. 2009,,Above Barrier,0.39,23,UpMatil,SoCal,"Ventura, Upper NF Matilija (above barrier)",50,47,34.55,-119.356,,California,Ventura,Ventura River,Matilija Creek,,Upper North Fork Matilija Creek,,,23,0,UpMatilM,39.13,UpMatilM,38.10
Clemento et al. 2009,,Above barrier,0.56,23,VenBear,SoCal,"Ventura, NF Matilija, Bear (below barrier)",51,48,34.51,-119.252,,California,Ventura,Ventura River,North Fork Matilija Creek,,Bear Creek,,,16,7,VenBearM,56.25,VenBearM,56.25
Clemento et al. 2009,,Above barrier,0.70,24,NFMatil,SoCal,"Ventura, NF Matilija (below barrier; barrier removed in 2005)",52,49,34.49,-119.301,,California,Ventura,Ventura River,Matilija Creek,,North Fork Matilija Creek,,,22,2,NFMatilM,70.45,NFMatilM,79.55
Clemento et al. 2009,,Above barrier,0.76,24,Matilij,SoCal,"Ventura, Matilija (above barrier)",53,46,34.57,-119.436,,California,Ventura,Ventura River,,,Matilija Creek,,,23,1,MatilijM,76.09,MatilijM,71.05
S. Lewis,,Above barrier,0.59,24,VenSAna,SoCal,"Ventura, Coyote, Santa Ana (above barrier)",54,50,34.43,-119.339,,California,Ventura,Ventura River,Coyote Creek,,Santa Ana Creek,,,23,1,VenSAnaM,58.70,VenSAnaM,58.70
S. Lewis,,Below barrier,0.36,23,VenSAnt,SoCal,"Ventura, San Antonio (below barrier)",55,51,34.39,-119.295,,California,Ventura,Ventura River,,,San Antonio Creek,,,22,1,VenSAntM,36.36,VenSAntM,36.36
Abadia-Cardoso et al. 2016,,Above barrier,0.50,16,WFSGab,SoCal,West Fork San Gabriel (above reservoir),56,52,34.25,-118.018,,California,Los Angeles,San Gabriel River,,,West Fork San Gabriel River,,,16,0,WFSGabM,50.00,WFSGabM,50.00
Abadia-Cardoso et al. 2016,,Above barrier,0.70,20,EFSnGab,SoCal,East Fork San Gabriel (above reservoir),57,53,34.30,-117.759,,California,Los Angeles,San Gabriel River,,,East Fork San Gabriel River,,,20,0,EFSnGabM,70.00,EFSnGabM,75.00
Abadia-Cardoso et al. 2016,,Above barrier,1.00,19,Coldwtr,SoCal,"Santa Ana, Temescal, Coldwater Canyon",58,54,33.76,-117.493,,California,Orange,Santa Ana River,Temescal Wash,,Coldwater Canyon Creek,,,17,2,ColdwtrM,100.00,ColdwtrM,100.00
Abadia-Cardoso et al. 2016,,Above barrier,0.79,12,SnLuisR,SoCal,West Fork San Luis Rey (above Lake Henshaw),59,55,33.33,-116.819,,California,San Diego,San Luis Rey River,,,West Fork San Luis Rey,,,12,0,SnLuisRM,79.17,SnLuisRM,79.17
Abadia-Cardoso et al. 2015,,Above barrier,0.36,27,nelsoni,nelsoni,"Santo Domingo, La Grulla (O. m. nelsoni)",60,56,30.82,-115.625,,Mexico,Baja California,R’o Santo Domingo,,,Arroyo La Grulla,,,25,2,nelsoniM,36.00,nelsoniM,36.00
Pearse & Garza 2015,,na,0.11,23,FHVirg,CA_RBT,Virginia (Fillmore),na,na,na,na,,California,Ventura,Santa Clara River,,,Santa Clara River,,Hot Creek -  Virginia Strain 2002,23,0,FHVirgM,10.87,FHVirgM,69.57
Pearse & Garza 2015,,na,0.60,24,FHWyom,CA_RBT,Wyoming (Fillmore),na,na,na,na,,California,Ventura,Santa Clara River,,,Santa Clara River,,Hot Creek -  Wyoming Strain 2002 (Dec),24,0,FHWyomM,60.42,FHWyomM,64.58
Pearse & Garza 2015,,na,0.17,23,ARHShas,CA_RBT,Mount Shasta (American River),na,na,na,na,,California,San Francisco,Sacramento River,,,American River,,Mount Shasta Strain,23,0,ARHShasM,17.39,ARHShasM,52.17
Pearse & Garza 2015,,na,1.00,24,HCHKmlp,CA_RBT,Kamloops (Hot Creek),na,na,na,na,,California,Inyo,Owens Lake Basin,Owens River,,Hot Creek,,Junction reservoir - Kamloops Strain,24,0,HCHKmlpM,100.00,HCHKmlpM,100.00
Pearse & Garza 2015,,na,0.05,23,ARHMocc,CA_RBT,"Hot Creek, Moccasin (American River)",na,na,na,na,,California,San Francisco,Sacramento River,,,American River,,"Moccasin Creek Hatchery, Hot Creek strain RTH-02 bag 1",22,1,ARHMoccM,4.55,ARHMoccM,65.91
Pearse & Garza 2015,,na,0.94,24,ARHEagl,CA_RBT,Eagle Lake (American River),na,na,na,na,,California,San Francisco,Sacramento River,,,American River,,Eagle Lake Strain,24,0,ARHEaglM,93.75,ARHEaglM,93.75
K. Warheit,,Below barrier,0.75,8,Green,PugetSound,,,,47.240,-121.57,,,,,,,,,,1625,,,,,
K. Warheit,,Below barrier,0.38,4,Nooksack,PugetSound,,,,48.880,-121.634,,,,,,,,,,,,,,,
K. Warheit,,Below barrier,0.56,8,Sno,PugetSound,,,,47.610,-121.98,,,,,,,,,,,,,,,
K. Warheit,,Below barrier,0.25,4,Sky,PugetSound,,,,47.746,-121.451,,,,,,,,,,,,,,,
K. Warheit,,Below barrier,0.88,8,Skagit,PugetSound,,,,48.53,-121.28,,,,,,,,,,,,,,,
K. Warheit,,Below barrier,0.83,6,Sauk,PugetSound,,,,48.428,-121.571,,,,,,,,,,,,,,,
B. Koop,,Below barrier,0.94,8,Coquihalla,BC,,,,49.4614111,-121.2593889,,,,,,,,,,,,,,,
B. Koop,,Below barrier,0.90,10,Haida,BC,,,,53.1361083,-132.2260361,,,,,,,,,,,,,,,
B. Koop,,Below barrier,1.00,5,Kitimat,BC,,,,54.0854861,-128.6348917,,,,,,,,,,,,,,,
B. Koop,,Below barrier,0.40,5,Nilkitkwa,BC,,,,55.5757889,-126.6666556,,,,,,,,,,,,,,,
B. Koop,,Below barrier,0.90,10,Gold,BC,,,,50.1338222,-126.6910528,,,,,,,,,,,,,,,
B. Koop,,Above barrier,1.00,10,Athabasca,BC,,,,53.3798694,-117.6721278,,,,,,,,,,,,,,,
B. Koop,,Above barrier,0.94,8,Blackwater River,BC,,,,53.2913194,-123.0267306,,,,,,,,,,,,,,,
B. Koop,,Above barrier,1.00,8,Carp Lake,BC,,,,54.7587194,-123.3330139,,,,,,,,,,,,,,,
B. Koop,,Above barrier,0.50,3,Horsefly River,BC,,,,52.3733278,-121.0593361,,,,,,,,,,,,,,,
B. Koop,,Above barrier,1.00,10,Peace River,BC,,,,56.7828222,-122.7000861,,,,,,,,,,,,,,,
B. Koop,,Above barrier,1.00,8,Pennask Lake,BC,,,,49.98985,-120.1005472,,,,,,,,,,,,,,,
B. Koop,,Above barrier,1.00,8,Tzenziacut Lake,BC,,,,52.6631556,-122.8839167,,,,,,,,,,,,,,,
K. Warheit,,Below barrier,1.00,9,Kendall,PugetSound,,,,48.896,-122.142,,,,,,,,,,,,,,,
K. Warheit,,Below barrier,1.00,9,Marblemount,PugetSound,,,,48.283,-121.991,,,,,,,,,,,,,,,
K. Warheit,,Below barrier,1.00,5,Tokul,PugetSound,,,,47.552,-121.843,,,,,,,,,,,,,,,
